transactionid,saledate,receiptnumber,servicecharge,servicechargevat,transactionexcludevat,servicechargepercent,vatpercent,otheramountdiscount,totalproductamount,totalpayamount
46156,2019-02-13,033022019/130084,48000.0000,4800.0000,64000.0000,7.5000,10.0000,0.0000,14.0000,756800.0000
46154,2019-02-13,033022019/130085,23325.0000,2333.0000,31100.0000,7.5000,10.0000,0.0000,5.0000,367758.0000
78117,2019-02-13,033022019/130086,39750.0000,3975.0000,53000.0000,7.5000,10.0000,0.0000,12.0000,626725.0000
46149,2019-02-13,033022019/130081,12825.0000,1283.0000,17100.0000,7.5000,10.0000,0.0000,4.0000,202208.0000
78115,2019-02-13,033022019/130080,20625.0000,2063.0000,27500.0000,7.5000,10.0000,0.0000,7.0000,325188.0000
46151,2019-02-13,033022019/130079,37275.0000,3728.0000,49700.0000,7.5000,10.0000,0.0000,8.0000,587703.0000
78114,2019-02-13,033022019/130074,24675.0000,2468.0000,32900.0000,7.5000,10.0000,0.0000,6.0000,389043.0000
46148,2019-02-13,033022019/130076,24675.0000,2468.0000,32900.0000,7.5000,10.0000,0.0000,11.0000,389043.0000
46147,2019-02-13,033022019/130075,41250.0000,4125.0000,55000.0000,7.5000,10.0000,0.0000,13.0000,650375.0000
46147,2019-02-13,033022019/130075,41250.0000,4125.0000,44000.0000,7.5000,10.0000,0.0000,13.0000,529375.0000
46148,2019-02-13,033022019/130076,24675.0000,2468.0000,32900.0000,7.5000,10.0000,0.0000,11.0000,389043.0000
46150,2019-02-13,033022019/130077,75000.0000,7500.0000,100000.0000,7.5000,10.0000,0.0000,18.0000,1182500.0000
46150,2019-02-13,033022019/130077,75000.0000,7500.0000,100000.0000,7.5000,10.0000,0.0000,18.0000,1182500.0000
46152,2019-02-13,033022019/130078,18750.0000,1875.0000,25000.0000,7.5000,10.0000,0.0000,7.0000,295625.0000
46152,2019-02-13,033022019/130078,18750.0000,1875.0000,25000.0000,7.5000,10.0000,0.0000,7.0000,295625.0000
46151,2019-02-13,033022019/130079,37275.0000,3728.0000,49700.0000,7.5000,10.0000,0.0000,8.0000,587703.0000
46154,2019-02-13,033022019/130085,23325.0000,2333.0000,31100.0000,7.5000,10.0000,0.0000,5.0000,367758.0000
78117,2019-02-13,033022019/130086,39750.0000,3975.0000,53000.0000,7.5000,10.0000,0.0000,12.0000,626725.0000
78119,2019-02-13,033022019/130092,15900.0000,1590.0000,21200.0000,7.5000,10.0000,0.0000,5.0000,250690.0000
78122,2019-02-13,033022019/130093,5175.0000,518.0000,6900.0000,7.5000,10.0000,0.0000,3.0000,81593.0000
46158,2019-02-13,033022019/130094,56550.0000,5655.0000,75400.0000,7.5000,10.0000,0.0000,20.0000,891605.0000
46157,2019-02-13,033022019/130095,19125.0000,1913.0000,25500.0000,7.5000,10.0000,0.0000,6.0000,301538.0000
46158,2019-02-13,033022019/130094,56550.0000,5655.0000,75400.0000,7.5000,10.0000,0.0000,20.0000,891605.0000
78121,2019-02-13,,16650.0000,1665.0000,22200.0000,7.5000,10.0000,0.0000,4.0000,262515.0000
78121,2019-02-13,,16650.0000,1665.0000,22200.0000,7.5000,10.0000,0.0000,4.0000,262515.0000
46159,2019-02-13,033022019/130096,39450.0000,3945.0000,52600.0000,7.5000,10.0000,0.0000,7.0000,621995.0000
46159,2019-02-13,033022019/130096,56100.0000,5610.0000,74800.0000,7.5000,10.0000,0.0000,11.0000,884510.0000
46157,2019-02-13,033022019/130095,19125.0000,1913.0000,25500.0000,7.5000,10.0000,0.0000,6.0000,301538.0000
46153,2019-02-13,033022019/130091,13050.0000,1305.0000,17400.0000,7.5000,10.0000,0.0000,5.0000,205755.0000
78119,2019-02-13,033022019/130092,15900.0000,1590.0000,21200.0000,7.5000,10.0000,0.0000,5.0000,250690.0000
46158,2019-02-13,033022019/130094,51825.0000,5183.0000,69100.0000,7.5000,10.0000,0.0000,18.0000,817108.0000
78116,2019-02-13,033022019/130087,15375.0000,1538.0000,20500.0000,7.5000,10.0000,0.0000,6.0000,242413.0000
78116,2019-02-13,033022019/130087,15375.0000,1538.0000,20500.0000,7.5000,10.0000,0.0000,6.0000,242413.0000
78118,2019-02-13,033022019/130088,24225.0000,2423.0000,32300.0000,7.5000,10.0000,0.0000,8.0000,381948.0000
78120,2019-02-13,033022019/130089,32100.0000,3210.0000,42800.0000,7.5000,10.0000,0.0000,13.0000,506110.0000
78118,2019-02-13,033022019/130088,24225.0000,2423.0000,32300.0000,7.5000,10.0000,0.0000,8.0000,381948.0000
78120,2019-02-13,033022019/130089,32100.0000,3210.0000,42800.0000,7.5000,10.0000,0.0000,13.0000,506110.0000
14563,2019-02-13,033022019/130090,5700.0000,570.0000,7600.0000,7.5000,10.0000,0.0000,2.0000,89870.0000
78122,2019-02-13,033022019/130093,5175.0000,518.0000,6900.0000,7.5000,10.0000,0.0000,3.0000,81593.0000
14563,2019-02-13,033022019/130090,5700.0000,570.0000,7600.0000,7.5000,10.0000,0.0000,2.0000,89870.0000
