SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/140090,03392019/140090,09/14/2019 19:25:01,686000,51450.0000,73745.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140091,03392019/140091,09/14/2019 19:28:26,72000,5400.0000,7740.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140092,03392019/140092,09/14/2019 19:30:19,342000,25650.0000,36765.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140093,03392019/140093,09/14/2019 19:31:27,124000,9300.0000,13330.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140094,03392019/140094,09/14/2019 19:38:56,188000,14100.0000,20210.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140095,03392019/140095,09/14/2019 19:39:34,1223000,91725.0000,131473.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140096,03392019/140096,09/14/2019 19:41:25,612000,45900.0000,65790.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140097,03392019/140097,09/14/2019 19:43:04,496000,37200.0000,53320.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140098,03392019/140098,09/14/2019 19:44:34,674000,50550.0000,72455.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140099,03392019/140099,09/14/2019 19:46:11,630000,47250.0000,67725.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140100,03392019/140100,09/14/2019 19:53:08,548000,41100.0000,58910.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140101,03392019/140101,09/14/2019 19:55:08,295000,22125.0000,31713.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140102,03392019/140102,09/14/2019 19:55:37,190000,14250.0000,20425.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140103,03392019/140103,09/14/2019 19:56:40,346000,25950.0000,37195.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140104,03392019/140104,09/14/2019 19:59:03,1331000,99825.0000,143083.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140105,03392019/140105,09/14/2019 20:01:31,277000,20775.0000,29778.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140106,03392019/140106,09/14/2019 20:02:46,69000,5175.0000,7418.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140107,03392019/140107,09/14/2019 20:04:08,451000,33825.0000,48483.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140108,03392019/140108,09/14/2019 20:05:17,344000,25800.0000,36980.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140109,03392019/140109,09/14/2019 20:06:24,205000,15375.0000,22038.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140110,03392019/140110,09/14/2019 20:07:56,293000,21975.0000,31498.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140111,03392019/140111,09/14/2019 20:09:31,312000,23400.0000,33540.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140112,03392019/140112,09/14/2019 20:10:24,800000,60000.0000,86000.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140113,03392019/140113,09/14/2019 20:12:44,213000,15975.0000,22898.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140114,03392019/140114,09/14/2019 20:20:24,467000,35025.0000,50203.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140115,03392019/140115,09/14/2019 20:27:01,272000,20400.0000,29240.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140116,03392019/140116,09/14/2019 20:31:42,635000,47625.0000,68263.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140117,03392019/140117,09/14/2019 20:33:59,313000,23475.0000,33648.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140118,03392019/140118,09/14/2019 20:34:56,201000,15075.0000,21608.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140119,03392019/140119,09/14/2019 20:38:06,1130000,84750.0000,121475.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140120,03392019/140120,09/14/2019 20:39:49,1282000,96150.0000,137815.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140121,03392019/140121,09/14/2019 20:41:15,201000,15075.0000,21608.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140122,03392019/140122,09/14/2019 20:42:52,909000,68175.0000,97718.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140123,03392019/140123,09/14/2019 20:49:00,267000,20025.0000,28703.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140124,03392019/140124,09/14/2019 20:50:31,185000,13875.0000,19888.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
